function_name,function_type,dimension,point_index,point,multiindex,order,encoded_degree,exact_value,predicted_value,abs_error,squared_error
poly_2d,polynomial,2,6,"0.44753639479454554;-0.32520179515466963","4,1",5,5.41,0,0,0,0
poly_2d,polynomial,2,6,"0.44753639479454554;-0.32520179515466963","5,0",5,5.50,0,0,0,0
poly_2d,polynomial,2,7,"0.76584146003670994;-0.54930153963245998","0,1",1,1.01,-0.13838058075126047,-0.13838058075126058,1.1102230246251565E-16,1.2325951644078309E-32
poly_2d,polynomial,2,7,"0.76584146003670994;-0.54930153963245998","1,0",1,1.10,4.2120261062188309,4.21202610621883,8.8817841970012523E-16,7.8886090522101181E-31
poly_2d,polynomial,2,7,"0.76584146003670994;-0.54930153963245998","0,2",2,2.02,-5.0101966360213552,-5.0101966360213552,0,0
poly_2d,polynomial,2,7,"0.76584146003670994;-0.54930153963245998","1,1",2,2.11,-2.158169295819067,-2.158169295819067,0,0
poly_2d,polynomial,2,7,"0.76584146003670994;-0.54930153963245998","2,0",2,2.20,12.754442712930711,12.754442712930709,1.7763568394002505E-15,3.1554436208840472E-30
poly_2d,polynomial,2,7,"0.76584146003670994;-0.54930153963245998","0,3",3,3.03,18.172996925136854,18.172996925136857,3.5527136788005009E-15,1.2621774483536189E-29
poly_2d,polynomial,2,7,"0.76584146003670994;-0.54930153963245998","1,2",3,3.12,-3.2958092377947601,-3.2958092377947601,0,0
poly_2d,polynomial,2,7,"0.76584146003670994;-0.54930153963245998","2,1",3,3.21,-4,-4,0,0
poly_2d,polynomial,2,7,"0.76584146003670994;-0.54930153963245998","3,0",3,3.30,27.570292561321558,27.570292561321558,0,0
poly_2d,polynomial,2,7,"0.76584146003670994;-0.54930153963245998","0,4",4,4.04,-49.437138566921398,-49.437138566921391,7.1054273576010019E-15,5.0487097934144756E-29
poly_2d,polynomial,2,7,"0.76584146003670994;-0.54930153963245998","1,3",4,4.13,6,6,0,0
poly_2d,polynomial,2,7,"0.76584146003670994;-0.54930153963245998","2,2",4,4.22,0,0,0,0
poly_2d,polynomial,2,7,"0.76584146003670994;-0.54930153963245998","3,1",4,4.31,0,0,0,0
poly_2d,polynomial,2,7,"0.76584146003670994;-0.54930153963245998","4,0",4,4.40,36,36,0,0
poly_2d,polynomial,2,7,"0.76584146003670994;-0.54930153963245998","0,5",5,5.05,90,90,0,0
poly_2d,polynomial,2,7,"0.76584146003670994;-0.54930153963245998","1,4",5,5.14,0,0,0,0
poly_2d,polynomial,2,7,"0.76584146003670994;-0.54930153963245998","2,3",5,5.23,0,0,0,0
poly_2d,polynomial,2,7,"0.76584146003670994;-0.54930153963245998","3,2",5,5.32,0,0,0,0
poly_2d,polynomial,2,7,"0.76584146003670994;-0.54930153963245998","4,1",5,5.41,0,0,0,0
poly_2d,polynomial,2,7,"0.76584146003670994;-0.54930153963245998","5,0",5,5.50,0,0,0,0
poly_2d,polynomial,2,8,"-0.0028272897093064575;0.25857628114139841","0,1",1,1.01,0.016181223284972717,0.016181223284972717,0,0
poly_2d,polynomial,2,8,"-0.0028272897093064575;0.25857628114139841","1,0",1,1.10,0.020212992604622632,0.020212992604622629,3.4694469519536142E-18,1.2037062152420224E-35
poly_2d,polynomial,2,8,"-0.0028272897093064575;0.25857628114139841","0,2",2,2.02,0.25494629920408041,0.2549462992040803,1.1102230246251565E-16,1.2325951644078309E-32
poly_2d,polynomial,2,8,"-0.0028272897093064575;0.25857628114139841","1,1",2,2.11,0.21189423834397236,0.21189423834397236,0,0
poly_2d,polynomial,2,8,"-0.0028272897093064575;0.25857628114139841","2,0",2,2.20,-1.0341612403577873,-1.0341612403577873,0,0
poly_2d,polynomial,2,8,"-0.0028272897093064575;0.25857628114139841","0,3",3,3.03,2.991812454345359,2.9918124543453586,4.4408920985006262E-16,1.9721522630525295E-31
poly_2d,polynomial,2,8,"-0.0028272897093064575;0.25857628114139841","1,2",3,3.12,1.5514576868483905,1.5514576868483905,0,0
poly_2d,polynomial,2,8,"-0.0028272897093064575;0.25857628114139841","2,1",3,3.21,-4,-4,0,0
poly_2d,polynomial,2,8,"-0.0028272897093064575;0.25857628114139841","3,0",3,3.30,-0.10178242953503247,-0.10178242953503247,0,0
poly_2d,polynomial,2,8,"-0.0028272897093064575;0.25857628114139841","0,4",4,4.04,23.271865302725857,23.271865302725857,0,0
poly_2d,polynomial,2,8,"-0.0028272897093064575;0.25857628114139841","1,3",4,4.13,6,6,0,0
poly_2d,polynomial,2,8,"-0.0028272897093064575;0.25857628114139841","2,2",4,4.22,0,0,0,0
poly_2d,polynomial,2,8,"-0.0028272897093064575;0.25857628114139841","3,1",4,4.31,0,0,0,0
poly_2d,polynomial,2,8,"-0.0028272897093064575;0.25857628114139841","4,0",4,4.40,36,36,0,0
poly_2d,polynomial,2,8,"-0.0028272897093064575;0.25857628114139841","0,5",5,5.05,90,90,0,0
